network,x,y,coverage,radius,separation,separation_status,k_g0,method,free_rule,diff
insurance,VehicleYear,Antilock,1.0,3,2,measured,18,local_up_fast,2,-1
insurance,VehicleYear,CarValue,1.0,3,2,measured,18,local_up_fast,2,-1
insurance,VehicleYear,Cushioning,1.0,3,2,measured,18,local_up_fast,2,-1
insurance,VehicleYear,ILiCost,1.0,3,2,measured,18,local_up_fast,2,-1
insurance,VehicleYear,MedCost,1.0,3,2,measured,18,local_up_fast,2,-1
insurance,VehicleYear,OtherCarCost,1.0,3,2,measured,18,local_up_fast,2,-1
insurance,VehicleYear,PropCost,1.0,3,2,measured,18,local_up_fast,2,-1
insurance,VehicleYear,RuggedAuto,1.0,3,2,measured,18,local_up_fast,2,-1
insurance,VehicleYear,Theft,1.0,3,2,measured,18,local_up_fast,2,-1
insurance,VehicleYear,ThisCarCost,1.0,3,2,measured,18,local_up_fast,2,-1
insurance,VehicleYear,ThisCarDam,1.0,3,2,measured,18,local_up_fast,2,-1
insurance,AntiTheft,PropCost,0.5,2,2,measured,12,local_up_fast,2,0
insurance,AntiTheft,Theft,0.5,2,2,measured,12,local_up_fast,2,0
insurance,AntiTheft,ThisCarCost,0.5,2,2,measured,12,local_up_fast,2,0
insurance,HomeBase,PropCost,0.5,2,2,measured,12,local_up_fast,2,0
insurance,HomeBase,Theft,0.5,2,2,measured,12,local_up_fast,2,0
insurance,HomeBase,ThisCarCost,0.5,2,2,measured,12,local_up_fast,2,0
insurance,MakeModel,Accident,0.5,2,2,measured,12,local_up_fast,2,0
insurance,MakeModel,Airbag,0.5,2,2,measured,12,local_up_fast,2,0
insurance,MakeModel,Antilock,0.5,2,2,measured,12,local_up_fast,2,0
insurance,MakeModel,CarValue,0.5,2,2,measured,12,local_up_fast,2,0
insurance,MakeModel,Cushioning,0.5,2,2,measured,12,local_up_fast,2,0
insurance,MakeModel,ILiCost,0.5,2,2,measured,12,local_up_fast,2,0
insurance,MakeModel,MedCost,0.5,2,2,measured,12,local_up_fast,2,0
insurance,MakeModel,OtherCarCost,0.5,2,2,measured,12,local_up_fast,2,0
insurance,MakeModel,PropCost,0.5,2,2,measured,12,local_up_fast,2,0
insurance,MakeModel,RuggedAuto,0.5,2,2,measured,12,local_up_fast,2,0
insurance,MakeModel,Theft,0.5,2,2,measured,12,local_up_fast,2,0
insurance,MakeModel,ThisCarCost,0.5,2,2,measured,12,local_up_fast,2,0
