network,n,seed,method,status,seconds,wall_s,n_nodes,n_true_edges,n_learned_edges,n_directed,n_undirected,undirected_fraction,n_conflict_edges,n_other_endpoints,meek_closed_on_arrival,closure_ok,n_forced_by_closure,acyclic,skeleton_tp,skeleton_precision,skeleton_recall,n_directed_in_truth,oriented_correct,n_components_ge2,max_component,ari_vs_oracle,is_reference,sample_sha256,components
ecoli70,200,5,ges,ok,26.9,900,46,70,87,75,12,0.137931,0,0,1,1,0,1,60,0.689655,0.857143,49,0.836735,4,5,0.23293,0,b981dd9313e2aff9,"[[""b1191"", ""cchB"", ""fixC"", ""tnaA"", ""ygbD""], [""cspA"", ""yfiA""], [""lacY"", ""nuoM""], [""lpdA"", ""pspA"", ""pspB"", ""yedE""]]"
ecoli70,200,6,ges,ok,13.6,900,46,70,90,89,1,0.011111,0,0,1,1,0,1,58,0.644444,0.828571,57,0.859649,1,2,0.021661,0,de6b8ca68ea1bb1a,"[[""hupB"", ""yfiA""]]"
ecoli70,200,7,ges,ok,7.7,900,46,70,82,80,2,0.02439,0,0,1,1,0,1,57,0.695122,0.814286,55,0.818182,2,2,0.042899,0,50e389764cc4bb49,"[[""asnA"", ""icdA""], [""fixC"", ""ygbD""]]"
ecoli70,200,8,ges,ok,9.9,900,46,70,87,84,3,0.034483,0,0,1,1,0,1,59,0.678161,0.842857,57,0.877193,3,2,0.040607,0,ecc7388bea6a0245,"[[""eutG"", ""ibpB""], [""pspA"", ""pspB""], [""sucD"", ""yhdM""]]"
ecoli70,200,9,ges,ok,9.0,900,46,70,88,87,1,0.011364,0,0,1,1,0,1,58,0.659091,0.828571,57,0.824561,1,2,0.021661,0,44b8f0497f60fd1f,"[[""fixC"", ""ygbD""]]"
ecoli70,1000,0,ges,ok,24.4,900,46,70,80,69,11,0.1375,0,0,1,1,0,1,66,0.825,0.942857,55,0.890909,5,7,0.352826,0,917f62fd727252a7,"[[""asnA"", ""icdA""], [""atpG"", ""dnaJ"", ""eutG"", ""gltA"", ""ibpB"", ""sucA"", ""yhdM""], [""b1191"", ""fixC"", ""ygbD""], [""hupB"", ""yfiA""], [""pspB"", ""yedE""]]"
ecoli70,1000,1,ges,ok,29.5,900,46,70,79,54,25,0.316456,0,0,1,1,0,1,66,0.835443,0.942857,42,0.97619,3,12,0.763806,0,d9c4f207b96a3129,"[[""asnA"", ""icdA""], [""atpG"", ""b1191"", ""dnaJ"", ""eutG"", ""fixC"", ""flgD"", ""gltA"", ""ibpB"", ""sucA"", ""sucD"", ""ygbD"", ""yhdM""], [""cspA"", ""cspG"", ""hupB"", ""lpdA"", ""nmpC"", ""pspA"", ""pspB"", ""yecO"", ""yedE"", ""yfiA""]]"
ecoli70,1000,2,ges,ok,26.4,900,46,70,79,68,11,0.139241,0,0,1,1,0,1,64,0.810127,0.914286,54,0.888889,4,7,0.492117,0,98482f26540b91c5,"[[""asnA"", ""icdA""], [""atpG"", ""dnaJ"", ""eutG"", ""flgD"", ""sucA"", ""sucD"", ""yhdM""], [""b1191"", ""fixC"", ""ygbD"", ""yjbO""], [""hupB"", ""yfiA""]]"
ecoli70,1000,3,ges,ok,32.4,900,46,70,75,66,9,0.12,0,0,1,1,0,1,68,0.906667,0.971429,60,0.9,3,8,0.486853,0,9147210966b3e964,"[[""asnA"", ""icdA""], [""atpG"", ""dnaJ"", ""eutG"", ""flgD"", ""gltA"", ""sucA"", ""sucD"", ""yhdM""], [""b1963"", ""folK""]]"
ecoli70,1000,4,ges,ok,28.1,900,46,70,78,64,14,0.179487,0,0,1,1,0,1,66,0.846154,0.942857,53,0.867925,5,8,0.591284,0,c26a9a9837230ea2,"[[""asnA"", ""icdA""], [""atpG"", ""dnaJ"", ""eutG"", ""flgD"", ""gltA"", ""sucA"", ""sucD"", ""yhdM""], [""cspA"", ""pspA"", ""pspB"", ""yedE""], [""fixC"", ""ygbD""], [""hupB"", ""yfiA""]]"
ecoli70,1000,5,ges,ok,54.4,900,46,70,76,60,16,0.210526,0,0,1,1,0,1,64,0.842105,0.914286,48,0.916667,4,9,0.652485,0,59d7967d6cc6aaf8,"[[""asnA"", ""icdA""], [""b1191"", ""cchB"", ""fixC"", ""ygbD""], [""cspA"", ""cspG"", ""hupB"", ""lpdA"", ""nmpC"", ""pspA"", ""pspB"", ""yecO"", ""yedE""], [""lacY"", ""nuoM""]]"
