stratum,stratum_class,arm,predictor,endpoint,status,n,n_networks,stratum_n_units,n_excluded_unreached,n_excluded_nan,tau_b,p_value,ci_lo_2p5,ci_hi_97p5,n_boot_nan,loo_tau_min,loo_tau_max,loo_network_at_min,loo_network_at_max,loo_verdict_flips,r_assumes,median_endpoint_pair_weighted,median_endpoint_network_weighted
tiered_nt2,primary,tiered,shd_truth,AUC_rate_usable,ok,60,11,543,0,483,0.6157986685344325,3.6870356762546706e-10,0.008872296384822046,0.7809647101351586,0,0.43068159790108873,0.6831555522037253,paths,sachs,False,,0.7059030686821992,0.6705168706585394
tiered_nt2,primary,tiered,n_k,AUC_rate,ok,60,11,543,0,483,-0.06666080018771597,0.5005805729530004,-0.588650690987513,0.515308105257619,1,-0.3954316658475401,0.2876532291362857,hailfinder,paths,True,,0.7016489829971106,0.656946560991973
tiered_nt2,primary,tiered,n_k,AUC_rate_usable,ok,60,11,543,0,483,-0.17286720574504982,0.08160303170022339,-0.6939872904301241,0.515308105257619,1,-0.47366769059639197,0.2876532291362857,hailfinder,paths,True,,0.7059030686821992,0.6705168706585394
tiered_nt2,primary,tiered,k_g0,AUC_rate,ok,60,11,543,0,483,-0.018349366423141666,0.8541531921258819,-0.470231358670595,0.5089772774501669,0,-0.3339053589533511,0.25217475126251526,hailfinder,paths,True,,0.7016489829971106,0.656946560991973
tiered_nt2,primary,tiered,k_g0,AUC_rate_usable,ok,60,11,543,0,483,-0.0920691287714497,0.3578103711964934,-0.5192875045115577,0.52319068143002,0,-0.35791876367567044,0.25217475126251526,hailfinder,paths,True,,0.7059030686821992,0.6705168706585394
tiered_nt3,primary,tiered,radius,AUC_rate,ok,176,18,543,0,367,0.3345021985996836,3.991440667117964e-08,0.060108756846201705,0.6348368404371567,0,0.22135313130883602,0.44039494289594033,paths,barley,False,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",0.8011114894809704,0.7359665344137345
tiered_nt3,primary,tiered,radius,AUC_rate_usable,ok,176,18,543,0,367,0.377616815579245,5.886826268998618e-10,0.06115037642213867,0.6870386264018683,0,0.22135313130883602,0.4989530200917353,paths,barley,False,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",0.8046116882886749,0.7359665344137345
tiered_nt3,primary,tiered,shd_truth,AUC_rate,ok,176,18,543,0,367,0.2979492681464464,9.006294989116063e-08,-0.17586709112430313,0.529542328566841,0,0.14515314739689367,0.3916812267329619,insurance,Polzer_2012,False,,0.8011114894809704,0.7359665344137345
tiered_nt3,primary,tiered,shd_truth,AUC_rate_usable,ok,176,18,543,0,367,0.3084463242703133,3.219013701910372e-08,-0.16348143758041012,0.5526530101969671,0,0.18760978902924022,0.4044182689368138,insurance,Polzer_2012,False,,0.8046116882886749,0.7359665344137345
tiered_nt3,primary,tiered,n_k,AUC_rate,ok,176,18,543,0,367,-0.02499699186749468,0.6602910051778085,-0.4081507911182813,0.3499920543393693,0,-0.10578474858761801,0.10292913298828972,water,paths,True,,0.8011114894809704,0.7359665344137345
tiered_nt3,primary,tiered,n_k,AUC_rate_usable,ok,176,18,543,0,367,-0.06616299897014669,0.24512477324459747,-0.4685502700573906,0.3486717258609563,0,-0.15476469359017642,0.10292913298828972,water,paths,True,,0.8046116882886749,0.7359665344137345
tiered_nt3,primary,tiered,k_g0,AUC_rate,ok,176,18,543,0,367,0.19212709838238637,0.0009188707206756421,-0.14391277141170308,0.44705365339439807,0,0.08504912944557057,0.27943761323005273,Polzer_2012,magic-niab,False,,0.8011114894809704,0.7359665344137345
tiered_nt3,primary,tiered,k_g0,AUC_rate_usable,ok,176,18,543,0,367,0.2272441934788057,8.983616728312504e-05,-0.13303916979003688,0.5148072538461395,0,0.12722481056660448,0.32616403539960653,Polzer_2012,magic-niab,False,,0.8046116882886749,0.7359665344137345
tiered_nt4,primary,tiered,radius,AUC_rate,ok,265,19,543,0,278,0.4832453597995131,2.5413471013400094e-22,0.277570840852195,0.703051769787037,0,0.3928345043763101,0.5367142793637949,paths,insurance,False,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",0.8570184912160147,0.7663781795087905
tiered_nt4,primary,tiered,radius,AUC_rate_usable,ok,265,19,543,0,278,0.4832453597995131,2.5413471013400094e-22,0.277570840852195,0.703051769787037,0,0.3928345043763101,0.5367142793637949,paths,insurance,False,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",0.8570184912160147,0.7663781795087905
tiered_nt4,primary,tiered,shd_truth,AUC_rate,ok,265,19,543,0,278,0.2537504573742352,4.2419886726471924e-08,-0.19277448445695725,0.49060421147564254,0,0.07519680900524836,0.343718823928607,insurance,hailfinder,False,,0.8570184912160147,0.7663781795087905
tiered_nt4,primary,tiered,shd_truth,AUC_rate_usable,ok,265,19,543,0,278,0.25461900817620065,3.8145708697589425e-08,-0.19260613086525524,0.4913696342600766,0,0.0765640237144347,0.34466953556926055,insurance,hailfinder,False,,0.8570184912160147,0.7663781795087905
tiered_nt4,primary,tiered,n_k,AUC_rate,ok,265,19,543,0,278,0.12468926056084895,0.006775211067753295,-0.33890325619176787,0.4455537604533457,0,-0.06679725319976557,0.2718442286572441,insurance,paths,True,,0.8570184912160147,0.7663781795087905
tiered_nt4,primary,tiered,n_k,AUC_rate_usable,ok,265,19,543,0,278,0.12362268575786922,0.007263089717858416,-0.34279439983048393,0.4455537604533457,0,-0.06840078816030007,0.2718442286572441,insurance,paths,True,,0.8570184912160147,0.7663781795087905
tiered_nt4,primary,tiered,k_g0,AUC_rate,ok,265,19,543,0,278,0.270252967528642,2.5722891295339206e-09,-0.09748312293968758,0.48831657279384605,0,0.14732754766140266,0.32632736311896654,insurance,magic-irri,False,,0.8570184912160147,0.7663781795087905
tiered_nt4,primary,tiered,k_g0,AUC_rate_usable,ok,265,19,543,0,278,0.2714203669564115,2.19699872407462e-09,-0.09724323302925972,0.48948186584815695,0,0.1490462099153918,0.3276012500276938,insurance,magic-irri,False,,0.8570184912160147,0.7663781795087905
