instance_id,component_size,separation,coverage,base_wrongness,n_draws,d,n_eval,n_contradictory,contradiction_rate,S,S_contra_as_fail
c06_s01_cov050_seed00000020_bw025,6,1,0.5,0.25,200,1,150,50,0.25,0.35333333333333333,0.265
c06_s01_cov050_seed00000020_bw025,6,1,0.5,0.25,200,2,131,69,0.345,0.0,0.0
c06_s01_cov050_seed00000020_bw025,6,1,0.5,0.25,200,3,97,103,0.515,0.0,0.0
c06_s01_cov050_seed00000020_bw025,6,1,0.5,0.25,200,4,0,200,1.0,,0.0
c06_s01_cov050_seed00000020_bw025,6,1,0.5,0.25,1000,1,766,234,0.234,0.3433420365535248,0.263
c06_s01_cov050_seed00000020_bw025,6,1,0.5,0.25,1000,2,674,326,0.326,0.0,0.0
c06_s01_cov050_seed00000020_bw025,6,1,0.5,0.25,1000,3,534,466,0.466,0.0,0.0
c06_s01_cov050_seed00000020_bw025,6,1,0.5,0.25,1000,4,0,1000,1.0,,0.0
c06_s03_cov050_seed00000004_bw025,6,3,0.5,0.25,200,1,100,100,0.5,1.0,0.5
c06_s03_cov050_seed00000004_bw025,6,3,0.5,0.25,200,2,200,0,0.0,0.0,0.0
c06_s03_cov050_seed00000004_bw025,6,3,0.5,0.25,1000,1,479,521,0.521,1.0,0.479
c06_s03_cov050_seed00000004_bw025,6,3,0.5,0.25,1000,2,1000,0,0.0,0.0,0.0
c06_s03_cov050_seed00000005_bw025,6,3,0.5,0.25,200,1,108,92,0.46,1.0,0.54
c06_s03_cov050_seed00000005_bw025,6,3,0.5,0.25,200,2,200,0,0.0,0.0,0.0
c06_s03_cov050_seed00000005_bw025,6,3,0.5,0.25,1000,1,496,504,0.504,1.0,0.496
c06_s03_cov050_seed00000005_bw025,6,3,0.5,0.25,1000,2,1000,0,0.0,0.0,0.0
c06_s03_cov050_seed00000006_bw025,6,3,0.5,0.25,200,1,112,88,0.44,1.0,0.56
c06_s03_cov050_seed00000006_bw025,6,3,0.5,0.25,200,2,200,0,0.0,0.0,0.0
c06_s03_cov050_seed00000006_bw025,6,3,0.5,0.25,1000,1,512,488,0.488,1.0,0.512
c06_s03_cov050_seed00000006_bw025,6,3,0.5,0.25,1000,2,1000,0,0.0,0.0,0.0
c06_s03_cov050_seed00000007_bw025,6,3,0.5,0.25,200,1,96,104,0.52,1.0,0.48
c06_s03_cov050_seed00000007_bw025,6,3,0.5,0.25,200,2,200,0,0.0,0.0,0.0
c06_s03_cov050_seed00000007_bw025,6,3,0.5,0.25,1000,1,491,509,0.509,1.0,0.491
c06_s03_cov050_seed00000007_bw025,6,3,0.5,0.25,1000,2,1000,0,0.0,0.0,0.0
c06_s03_cov050_seed00000008_bw025,6,3,0.5,0.25,200,1,97,103,0.515,1.0,0.485
c06_s03_cov050_seed00000008_bw025,6,3,0.5,0.25,200,2,200,0,0.0,0.0,0.0
c06_s03_cov050_seed00000008_bw025,6,3,0.5,0.25,1000,1,513,487,0.487,1.0,0.513
c06_s03_cov050_seed00000008_bw025,6,3,0.5,0.25,1000,2,1000,0,0.0,0.0,0.0
