instance_id,arm,gate,component_size,separation,n_tiers,bin,n_samples,n_contradictory,n_noncontra,contradiction_rate,S,S_contra_as_fail
c10_s01_cov100_seed00000044_xarm_nt3,flip,fast_gate,10,1,3,0.5,200,153,47,0.765,0.7021276595744681,0.165
c10_s01_cov100_seed00000044_xarm_nt3,flip,fast_gate,10,1,3,0.65,200,182,18,0.91,0.8333333333333334,0.075
c10_s01_cov100_seed00000044_xarm_nt3,flip,fast_gate,10,1,3,0.8,200,194,6,0.97,0.6666666666666666,0.02
c10_s01_cov100_seed00000044_xarm_nt3,flip,fast_gate,10,1,3,unresolved_all_contradictory,1000,1000,0,1.0,,0.0
c10_s02_cov100_seed00000000_xarm_nt3,tiered,fast_gate,10,2,3,0.1,600,314,286,0.5233333333333333,0.8951048951048951,0.4266666666666667
c10_s02_cov100_seed00000000_xarm_nt3,tiered,fast_gate,10,2,3,0.0,200,66,134,0.33,0.9552238805970149,0.64
c10_s02_cov100_seed00000000_xarm_nt3,tiered,fast_gate,10,2,3,0.25,200,156,44,0.78,0.8636363636363636,0.19
c10_s02_cov100_seed00000000_xarm_nt3,tiered,fast_gate,10,2,3,0.3,600,544,56,0.9066666666666666,0.7321428571428571,0.06833333333333333
c10_s02_cov100_seed00000000_xarm_nt3,tiered,fast_gate,10,2,3,0.4,400,373,27,0.9325,0.5555555555555556,0.0375
c10_s02_cov100_seed00000000_xarm_nt3,flip,fast_gate,10,2,3,0.6,200,64,136,0.32,0.8088235294117647,0.55
c10_s02_cov100_seed00000000_xarm_nt3,flip,fast_gate,10,2,3,0.7,200,154,46,0.77,0.41304347826086957,0.095
c10_s02_cov100_seed00000000_xarm_nt3,flip,fast_gate,10,2,3,1.0,200,183,17,0.915,0.0,0.0
c10_s02_cov100_seed00000000_xarm_nt3,flip,fast_gate,10,2,3,unresolved_all_contradictory,600,600,0,1.0,,0.0
c10_s02_cov100_seed00000001_xarm_nt3,tiered,fast_gate,10,2,3,0.1,800,367,433,0.45875,0.9168591224018475,0.49625
c10_s02_cov100_seed00000001_xarm_nt3,tiered,fast_gate,10,2,3,0.2,400,314,86,0.785,0.872093023255814,0.1875
c10_s02_cov100_seed00000001_xarm_nt3,tiered,fast_gate,10,2,3,0.3,400,345,55,0.8625,0.7272727272727273,0.1
c10_s02_cov100_seed00000001_xarm_nt3,tiered,fast_gate,10,2,3,0.35,200,178,22,0.89,0.7272727272727273,0.08
c10_s02_cov100_seed00000001_xarm_nt3,tiered,fast_gate,10,2,3,0.4,200,179,21,0.895,0.7619047619047619,0.08
c10_s02_cov100_seed00000001_xarm_nt3,flip,fast_gate,10,2,3,0.5,200,38,162,0.19,0.7345679012345679,0.595
c10_s02_cov100_seed00000001_xarm_nt3,flip,fast_gate,10,2,3,0.75,200,164,36,0.82,0.5,0.09
c10_s02_cov100_seed00000001_xarm_nt3,flip,fast_gate,10,2,3,1.1,200,185,15,0.925,0.0,0.0
c10_s02_cov100_seed00000001_xarm_nt3,flip,fast_gate,10,2,3,unresolved_all_contradictory,400,400,0,1.0,,0.0
c10_s02_cov100_seed00000002_xarm_nt3,tiered,fast_gate,10,2,3,0.05,400,109,291,0.2725,0.9381443298969072,0.6825
c10_s02_cov100_seed00000002_xarm_nt3,tiered,fast_gate,10,2,3,0.15,400,177,223,0.4425,0.8968609865470852,0.5
c10_s02_cov100_seed00000002_xarm_nt3,tiered,fast_gate,10,2,3,0.2,400,240,160,0.6,0.78125,0.3125
c10_s02_cov100_seed00000002_xarm_nt3,tiered,fast_gate,10,2,3,0.3,600,464,136,0.7733333333333333,0.6985294117647058,0.15833333333333333
c10_s02_cov100_seed00000002_xarm_nt3,tiered,fast_gate,10,2,3,0.4,200,180,20,0.9,0.6,0.06
c10_s02_cov100_seed00000002_xarm_nt3,flip,fast_gate,10,2,3,0.3,200,41,159,0.205,0.8679245283018868,0.69
c10_s02_cov100_seed00000002_xarm_nt3,flip,fast_gate,10,2,3,0.45,200,113,87,0.565,0.7701149425287356,0.335
c10_s02_cov100_seed00000002_xarm_nt3,flip,fast_gate,10,2,3,0.6,200,154,46,0.77,0.6956521739130435,0.16
c10_s02_cov100_seed00000002_xarm_nt3,flip,fast_gate,10,2,3,0.75,200,179,21,0.895,0.42857142857142855,0.045
c10_s02_cov100_seed00000002_xarm_nt3,flip,fast_gate,10,2,3,0.95,200,198,2,0.99,0.0,0.0
c10_s02_cov100_seed00000002_xarm_nt3,flip,fast_gate,10,2,3,unresolved_all_contradictory,800,800,0,1.0,,0.0
c10_s02_cov100_seed00000003_xarm_nt3,tiered,fast_gate,10,2,3,0.05,400,134,266,0.335,0.9135338345864662,0.6075
c10_s02_cov100_seed00000003_xarm_nt3,tiered,fast_gate,10,2,3,0.0,200,55,145,0.275,0.9310344827586207,0.675
