arm,base_wrongness,component_size,coverage,n_tiers,predictor,endpoint,is_primary,is_sensitivity,is_secondary,stratum_n_instances,n,n_excluded_unreached,n_excluded_nan,predictor_constant,underpowered,status,tau_b,p_value,ci_lo_2p5,ci_hi_97p5,n_boot_nan,r_assumes
flip,0.1,8,0.5,,shd_cpdag,AUC_frac_usable,False,True,False,60,60,0,0,False,False,ok,-0.46971967308173646,2.1463863482772762e-05,-0.6016112230817441,-0.31118552331883986,0,
flip,0.1,8,0.5,,shd_truth,AUC_frac,True,False,False,60,60,0,0,False,False,ok,0.26726124191242434,0.013884705700900137,0.020165116750190636,0.50289503970253,0,
flip,0.1,8,0.5,,shd_truth,AUC_frac_usable,False,True,False,60,60,0,0,False,False,ok,0.19429468062839736,0.07368732695941169,-0.05585294851986401,0.4291226140826042,0,
flip,0.1,8,0.5,,undirected_fraction,AUC_frac,True,False,False,60,60,0,0,False,False,ok,-0.3874304376234559,0.0005330506613195214,-0.5940114385751535,-0.15076810997927548,0,
flip,0.1,8,0.5,,undirected_fraction,AUC_frac_usable,False,True,False,60,60,0,0,False,False,ok,-0.46708903227500764,2.9705769935811383e-05,-0.6243775542655097,-0.2771747347621033,0,
flip,0.1,8,1.0,,n_k,AUC_abs,False,False,True,56,56,0,0,False,False,ok,-0.21638992288797038,0.042044454095006616,-0.45486238742134494,0.018442424375005987,0,
flip,0.1,8,1.0,,n_k,AUC_frac,True,False,False,56,56,0,0,False,False,ok,-0.26940266309423705,0.011238138335616337,-0.48870231077075654,-0.049175252223355254,0,
flip,0.1,8,1.0,,n_k,AUC_frac_usable,False,True,False,56,54,0,2,False,False,ok,0.02025401051406213,0.8636751170948982,-0.2049870722399301,0.2507440974171118,0,
flip,0.1,8,1.0,,r_val,AUC_frac,True,False,False,56,56,0,0,False,False,ok,0.4851753489427042,2.16970307448046e-06,0.25823201291841574,0.7101437677378901,0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
flip,0.1,8,1.0,,r_val,AUC_frac_usable,False,True,False,56,54,0,2,False,False,ok,0.14844776237384508,0.19240353432742496,-0.12952449352774284,0.4149801134109508,0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
flip,0.1,8,1.0,,shd_cpdag,AUC_frac,True,False,False,56,56,0,0,False,False,ok,-0.26940266309423705,0.011238138335616337,-0.48870231077075654,-0.049175252223355254,0,
flip,0.1,8,1.0,,shd_cpdag,AUC_frac_usable,False,True,False,56,54,0,2,False,False,ok,0.02025401051406213,0.8636751170948982,-0.2049870722399301,0.2507440974171118,0,
flip,0.1,8,1.0,,shd_truth,AUC_frac,True,False,False,56,56,0,0,True,False,undefined (predictor constant),,,,,0,
flip,0.1,8,1.0,,shd_truth,AUC_frac_usable,False,True,False,56,54,0,2,True,False,undefined (predictor constant),,,,,0,
flip,0.1,8,1.0,,undirected_fraction,AUC_frac,True,False,False,56,56,0,0,False,False,ok,-0.26940266309423705,0.011238138335616337,-0.48870231077075654,-0.049175252223355254,0,
flip,0.1,8,1.0,,undirected_fraction,AUC_frac_usable,False,True,False,56,54,0,2,False,False,ok,0.02025401051406213,0.8636751170948982,-0.2049870722399301,0.2507440974171118,0,
