origin,base_id,network,treatment,outcome,menu_index,source,members,size
synthetic,c08_s07_cov100_seed2054962599,,X,Y,7,O_true,C00;W,2
synthetic,c08_s07_cov100_seed2054962599,,X,Y,8,pa_true,C06,1
synthetic,c08_s07_cov100_seed2054962599,,X,Y,9,O_minus_v0,W,1
synthetic,c10_s01_cov100_seed779026817,,X,Y,0,empty,,0
synthetic,c10_s01_cov100_seed779026817,,X,Y,1,O_minus_v1;pa_true,C00,1
synthetic,c10_s01_cov100_seed779026817,,X,Y,2,O_plus_v0,C00;C07;W,3
synthetic,c10_s01_cov100_seed779026817,,X,Y,3,O_plus_v1,C00;C09;W,3
synthetic,c10_s01_cov100_seed779026817,,X,Y,4,O_true;an_minus_de,C00;W,2
synthetic,c10_s01_cov100_seed779026817,,X,Y,5,O_minus_v0,W,1
synthetic,c10_s01_cov100_seed2052139661,,X,Y,0,empty,,0
synthetic,c10_s01_cov100_seed2052139661,,X,Y,1,O_minus_v1;pa_true,C00,1
synthetic,c10_s01_cov100_seed2052139661,,X,Y,2,O_plus_v0,C00;C02;W,3
synthetic,c10_s01_cov100_seed2052139661,,X,Y,3,O_plus_v1,C00;C03;W,3
synthetic,c10_s01_cov100_seed2052139661,,X,Y,4,O_plus_v2,C00;C04;W,3
synthetic,c10_s01_cov100_seed2052139661,,X,Y,5,O_plus_v3,C00;C05;W,3
synthetic,c10_s01_cov100_seed2052139661,,X,Y,6,O_true;an_minus_de,C00;W,2
synthetic,c10_s01_cov100_seed2052139661,,X,Y,7,O_minus_v0,W,1
synthetic,c10_s04_cov100_seed677972131,,X,Y,0,empty,,0
synthetic,c10_s04_cov100_seed677972131,,X,Y,1,O_minus_v1,C00,1
synthetic,c10_s04_cov100_seed677972131,,X,Y,2,an_minus_de,C00;C01;C02;C03;W,5
synthetic,c10_s04_cov100_seed677972131,,X,Y,3,O_plus_v0,C00;C01;W,3
synthetic,c10_s04_cov100_seed677972131,,X,Y,4,O_plus_v1,C00;C02;W,3
synthetic,c10_s04_cov100_seed677972131,,X,Y,5,O_plus_v2,C00;C03;W,3
synthetic,c10_s04_cov100_seed677972131,,X,Y,6,O_plus_v3,C00;C05;W,3
synthetic,c10_s04_cov100_seed677972131,,X,Y,7,O_true,C00;W,2
synthetic,c10_s04_cov100_seed677972131,,X,Y,8,pa_true,C03,1
synthetic,c10_s04_cov100_seed677972131,,X,Y,9,O_minus_v0,W,1
synthetic,c10_s04_cov100_seed23742401,,X,Y,0,empty,,0
synthetic,c10_s04_cov100_seed23742401,,X,Y,1,O_minus_v1,C00,1
synthetic,c10_s04_cov100_seed23742401,,X,Y,2,an_minus_de,C00;C01;C02;C03;W,5
synthetic,c10_s04_cov100_seed23742401,,X,Y,3,O_plus_v0,C00;C01;W,3
synthetic,c10_s04_cov100_seed23742401,,X,Y,4,O_plus_v1,C00;C02;W,3
synthetic,c10_s04_cov100_seed23742401,,X,Y,5,O_plus_v2,C00;C03;W,3
synthetic,c10_s04_cov100_seed23742401,,X,Y,6,O_plus_v3,C00;C05;W,3
synthetic,c10_s04_cov100_seed23742401,,X,Y,7,O_true,C00;W,2
synthetic,c10_s04_cov100_seed23742401,,X,Y,8,pa_true,C03,1
synthetic,c10_s04_cov100_seed23742401,,X,Y,9,O_minus_v0,W,1
synthetic,c10_s06_cov100_seed2008114018,,X,Y,0,empty,,0
synthetic,c10_s06_cov100_seed2008114018,,X,Y,1,O_minus_v1,C00,1
synthetic,c10_s06_cov100_seed2008114018,,X,Y,2,an_minus_de,C00;C01;C02;C03;C04;C05;W,7
synthetic,c10_s06_cov100_seed2008114018,,X,Y,3,O_plus_v0,C00;C01;W,3
synthetic,c10_s06_cov100_seed2008114018,,X,Y,4,O_plus_v1,C00;C02;W,3
synthetic,c10_s06_cov100_seed2008114018,,X,Y,5,O_plus_v2,C00;C03;W,3
synthetic,c10_s06_cov100_seed2008114018,,X,Y,6,O_plus_v3,C00;C04;W,3
synthetic,c10_s06_cov100_seed2008114018,,X,Y,7,O_true,C00;W,2
synthetic,c10_s06_cov100_seed2008114018,,X,Y,8,pa_true,C05,1
synthetic,c10_s06_cov100_seed2008114018,,X,Y,9,O_minus_v0,W,1
synthetic,c10_s06_cov100_seed195996535,,X,Y,0,empty,,0
synthetic,c10_s06_cov100_seed195996535,,X,Y,1,O_minus_v1,C00,1
synthetic,c10_s06_cov100_seed195996535,,X,Y,2,an_minus_de,C00;C01;C02;C03;C04;C05;W,7
synthetic,c10_s06_cov100_seed195996535,,X,Y,3,O_plus_v0,C00;C01;W,3
synthetic,c10_s06_cov100_seed195996535,,X,Y,4,O_plus_v1,C00;C02;W,3
synthetic,c10_s06_cov100_seed195996535,,X,Y,5,O_plus_v2,C00;C03;W,3
synthetic,c10_s06_cov100_seed195996535,,X,Y,6,O_plus_v3,C00;C04;W,3
synthetic,c10_s06_cov100_seed195996535,,X,Y,7,O_true,C00;W,2
synthetic,c10_s06_cov100_seed195996535,,X,Y,8,pa_true,C05,1
synthetic,c10_s06_cov100_seed195996535,,X,Y,9,O_minus_v0,W,1
synthetic,c10_s09_cov100_seed1923618803,,X,Y,0,empty,,0
synthetic,c10_s09_cov100_seed1923618803,,X,Y,1,O_minus_v1,C00,1
