base_id,component_size,separation,proposal_id,proposal_size,sem_k,z_agree,z_agree_defined,avar_agree,z_hpm,z_hpm_defined,z_hpm_gac_valid,avar_hpm
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0016_k03,3,6,C00|W,1,1.38442810216536,W,1,0,0.46666918516013306
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0016_k03,3,7,C00|W,1,0.9157201666267609,W,1,0,1.4058057218886508
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0017_k03,3,0,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0017_k03,3,1,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0017_k03,3,2,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0017_k03,3,3,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0017_k03,3,4,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0017_k03,3,5,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0017_k03,3,6,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0017_k03,3,7,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0018_k04,4,0,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0018_k04,4,1,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0018_k04,4,2,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0018_k04,4,3,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0018_k04,4,4,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0018_k04,4,5,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0018_k04,4,6,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0018_k04,4,7,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0019_k04,4,0,C00|W,1,0.663258190046307,W,1,0,0.9685604541644974
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0019_k04,4,1,C00|W,1,0.9642180321266965,W,1,0,0.9416041876264686
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0019_k04,4,2,C00|W,1,0.9807242813422488,W,1,0,0.4525308560911589
