n,edge_prob,seed,x,y,z_size,k_undirected,k_g0,largest_component,space_build_s,space_bfs_query_enum_s,space_bfs_query_crit_s,space_censored,space_error,space_total_crit_s,space_total_enum_s,search_frozen_s,search_frozen_censored,search_frozen_error,search_fast_s,search_fast_censored,search_fast_error,hybrid_total_s,hybrid_censored,hybrid_error,radius_agree,speedup_space_vs_search,speedup_space_vs_search_lb,speedup_search_vs_hybrid,speedup_search_vs_hybrid_lb,speedup_e2e,speedup_e2e_lb,speedup_space_vs_search_enum,speedup_search_vs_hybrid_enum,speedup_e2e_enum
10,0.7,2,V0,V1,2,4,4,4,0.011054083000090031,0.0001519999996162369,0.0004232910005157464,False,False,0.011477374000605778,0.011206082999706268,0.0006759999996575061,False,False,0.00032279199967888417,False,False,0.00031362499976239633,False,False,True,35.5565627773413,,1.0292291747259714,,36.59585176341518,,16.577045865952375,2.155440415048694,35.73083462158962
10,0.7,3,V0,V1,2,2,2,3,0.0006560419997185818,8.77089996720315e-05,0.0001995410002564313,False,False,0.0008555829999750131,0.0007437509993906133,0.00043162500060134334,False,False,0.0002225420003014733,False,False,0.0002251249998153071,False,False,True,3.844591128038624,,0.9885263763866613,,3.8004797364883274,,1.7231416121735617,1.9172681885861151,3.3037245974493628
10,0.7,4,V0,V2,1,1,1,2,0.00020933399991918122,7.329099935304839e-05,0.00014237499999580905,False,False,0.00035170899991499027,0.0002826249992722296,0.0002688329996090033,False,False,0.00015366600018751342,False,False,0.0001560000000608852,False,False,True,2.2887886681882246,,0.9850384623560201,,2.2545448703700117,,1.0513032242443663,1.7232884583594905,1.8116987125764357
10,0.7,5,V0,V5,3,5,5,4,0.035854167000252346,0.004319499999837717,0.0025965830000131973,False,False,0.03845075000026554,0.04017366700009006,0.009367333999762195,False,False,0.0017867500000647851,False,False,0.0889649989994723,False,False,True,21.519938435075623,,0.020083741023538743,,0.43220087037255644,,4.288698043766768,0.10529235210599798,0.4515671045005953
10,0.7,6,V0,V1,4,6,6,4,0.1629188749993773,0.018166500000006636,0.006312958999842522,False,False,0.16923183399921982,0.18108537499938393,0.0749167080002735,False,False,0.007569915999738441,False,False,0.11946629200065217,False,False,True,22.355840408938114,,0.06336445095070932,,1.4165655530540444,,2.4171560634875044,0.6270949465801159,1.5157863525084998
10,0.7,7,V0,V2,1,4,4,4,0.010443208999276976,7.716600066487445e-05,0.00036979200012865476,False,False,0.01081300099940563,0.01052037499994185,0.0004438340001797769,False,False,0.000271083999905386,False,False,0.0002795000000332948,False,False,True,39.88800889458469,,0.9698890872024821,,38.686944537093225,,23.70340036067657,1.5879570666436718,37.63998210622052
10,0.85,0,V0,V1,7,6,6,4,0.18768420800006425,0.027904042000045592,0.005211708999922848,False,False,0.1928959169999871,0.21558825000010984,0.06422537500020553,False,False,0.005748042000050191,False,False,0.16458087399951182,False,False,True,33.5585434132706,,0.034925334034058175,,1.1720433384049185,,3.356745678782256,0.3902359577966273,1.3099228650392833
10,0.85,1,V0,V1,2,9,9,5,15.44993333399998,0.0006796659999963595,0.0021395419998953003,False,False,15.452072875999875,15.450612999999976,0.0012442090001059114,False,False,0.0006190000003698515,False,False,0.0006845409998277319,False,False,True,24962.96101254812,,0.9042555530284174,,22572.896115628522,,12418.020604805757,1.8175814164805655,22570.763480767695
10,0.85,2,V0,V1,2,4,4,4,0.011983999999756634,0.00017137499980890425,0.0004333750002842862,False,False,0.01241737500004092,0.012155374999565538,0.0007186659995568334,False,False,0.00033224999970116187,False,False,0.0003529169998728321,False,False,True,37.37358919852392,,0.9414394880974358,,35.18497268342222,,16.913802805560817,2.0363598234593208,34.44258849515759
10,0.85,3,V0,V1,2,3,3,3,0.003666540999802237,0.0001177080002889852,0.00037362500006565824,False,False,0.004040165999867895,0.003784249000091222,0.0006529579995913082,False,False,0.00029887500022596214,False,False,0.00029966700003569713,False,False,True,13.51791215997778,,0.9973570669788777,,13.482185223553543,,5.795547343718608,2.178945294321784,12.628180612614777
10,0.85,4,V0,V2,1,1,1,2,0.00021904100049141562,8.008300028450321e-05,0.00015704199995525414,False,False,0.00037608300044666976,0.00029912400077591883,0.000307582999994338,False,False,0.0001677919999565347,False,False,0.00016816700008348562,False,False,True,2.241364311433747,,0.9977700730418885,,2.236366232732732,,0.9724984826255842,1.8290330435914304,1.7787318595647201
10,0.85,5,V0,V5,4,5,5,4,0.041617500000029395,0.005480166999404901,0.0030387090000658645,False,False,0.04465620900009526,0.047097666999434296,0.0110217500005092,False,False,0.002045416999862937,False,False,0.11787650000042049,False,False,True,21.83232514596665,,0.017352203364161985,,0.37883894584532085,,4.273156894073845,0.09350252171102708,0.39955094526276475
10,0.85,6,V0,V1,4,14,14,6,,,,True,False,,,0.0009333749994766549,False,False,0.0006024169997544959,False,False,0.0006024169997544959,False,False,True,,199205.40624833852,1.0,,,199205.40624833852,,1.5493835662954978,
10,0.85,7,V0,V1,1,6,6,4,0.19958745900021313,0.0001740830002745497,0.000705041000401252,False,False,0.20029250000061438,0.19976154200048768,0.0006317499992292142,False,False,0.0004174169998805155,False,False,0.0003648749998319545,False,False,True,479.83790803428604,,1.1440000001994095,,548.9345668869075,,316.2034701135146,1.7314148667904643,547.4793890852734
12,0.3,0,V00,V01,1,0,0,0,4.641699979401892e-05,2.8125000426371116e-05,4.1958999645430595e-05,False,False,8.837599943944952e-05,7.454200022039004e-05,7.262500002980232e-05,False,False,5.412499922385905e-05,False,False,5.4999999520077836e-05,False,False,True,1.6328129460830025,,0.9840909035662925,,1.606836367465562,,1.0263958718044897,1.3204545575185043,1.3553091067424166
12,0.3,1,V00,V01,2,2,2,3,0.0005715419993066462,8.008300028450321e-05,0.00016649999997753184,False,False,0.000738041999284178,0.0006516249995911494,0.00035154199940734543,False,False,0.00018037499921774724,False,False,0.0001800419995561242,False,False,True,4.091708953485398,,1.0018495665591585,,4.099276841535573,,1.853619199668049,1.9525555163463943,3.6192943935174378
12,0.3,2,V00,V10,1,8,8,7,1.2343620420006118,0.003029374999641732,0.0019132090001221513,False,False,1.236275251000734,1.2373914170002536,0.0007321670000237646,False,False,0.00033974999951169593,False,False,0.00033629199970164336,False,False,True,3638.779257623443,,1.010282729928516,,3676.1958419990706,,1690.039863801688,2.177176384431802,3679.5148802173744
12,0.3,3,V00,V03,2,2,2,3,0.0005144999995536637,6.462500005000038e-05,0.00013629099976242287,False,False,0.0006507909993160865,0.000579124999603664,0.00042720800047391094,False,False,0.00023879199943621643,False,False,0.00023854100072639994,False,False,True,2.725346748855038,,1.001052224603117,,2.7282144257562084,,1.355604293368168,1.7909206349138567,2.4277797017708695
12,0.3,4,V01,V11,2,2,2,2,0.00048279099974024575,0.00020491600025707157,0.00015945900031510973,False,False,0.0006422500000553555,0.0006877069999973173,0.0005665409998982796,False,False,0.00017716700040182332,False,False,0.00017662500067672227,False,False,True,3.6251107632838027,,1.0030686466979444,,3.636234947457236,,1.2138697819236255,3.207592343822394,3.8935994188955805
12,0.3,5,V00,V08,2,6,6,7,0.0925070000002961,0.0007259579997480614,0.0009815000003072782,False,False,0.09348850000060338,0.09323295800004416,0.004542958999991242,False,False,0.0015002079999248963,False,False,0.001593624999259191,False,False,True,62.317025376003606,,0.941380814571985,,58.664052110165336,,20.52251803289968,2.8507076646658227,58.50369945462968
