stratum,arm,predictor_a,predictor_b,endpoint,status,stratum_n,n,n_excluded,n_clusters,tau_a_point,tau_b_point,delta_point,ci_lo_2p5,ci_hi_97p5,frac_delta_gt_0,n_boot,n_boot_valid,n_boot_nan,seed,loo_delta_min,loo_delta_max,loo_cluster_at_min,loo_cluster_at_max,loo_n_clusters_with_delta,loo_verdict_flips,scope_note
flip_cov100_bw025,flip,radius,phi_1,AUC_frac_usable,insufficient_n,1629,0,1629,0,,,,,,,10000,0,0,0,,,,,0,,"phi_1 is only defined where the unit's operative K is the frame's own K (flip arm, base_wrongness=0.0); this stratum's units carry phi_1=None throughout, so this row is expected to read insufficient_n / n=0, not a genuine null finding."
flip_cov100_bw025,flip,radius,r_claim,AUC_frac_usable,insufficient_n,1629,0,1629,0,,,,,,,10000,0,0,0,,,,,0,,"r_claim is only defined where the unit's operative K is the frame's own K (flip arm, base_wrongness=0.0); this stratum's units carry r_claim=None throughout, so this row is expected to read insufficient_n / n=0, not a genuine null finding."
flip_cov100_bwa1,flip,radius,shd_truth,AUC_frac_usable,ok,1629,1146,483,21,0.2995305420966374,0.020134129260886396,0.279396412835751,0.0752241912695096,0.4826771328978889,0.9944994499449945,10000,9999,1,0,0.22680633233498362,0.34587306641621235,Polzer_2012,barley,21,False,
flip_cov100_bwa1,flip,radius,n_k,AUC_frac_usable,ok,1629,1146,483,21,0.2995305420966374,0.17886017082362546,0.12067037127301192,-0.31589939700443653,0.5091615630352357,0.7356,10000,10000,0,0,-0.071858086147404,0.23528112900617795,insurance,diabetes,21,True,
flip_cov100_bwa1,flip,radius,k_g0,AUC_frac_usable,ok,1629,1146,483,21,0.2995305420966374,0.0721720863775056,0.22735845571913177,-0.25592580352175304,0.6695391466684851,0.8441,10000,10000,0,0,0.0335709047289694,0.41475575479039356,insurance,diabetes,21,False,
flip_cov100_bwa1,flip,radius,separation,AUC_frac_usable,ok,1629,517,1112,17,0.40970090950934784,0.2756191007310751,0.13408180877827275,-0.1627505092692163,0.3677957379580661,0.8185,10000,10000,0,0,-0.0021675075083727458,0.19283060946462047,insurance,barley,17,True,
flip_cov100_bwa1,flip,radius,phi_1,AUC_frac_usable,insufficient_n,1629,0,1629,0,,,,,,,10000,0,0,0,,,,,0,,"phi_1 is only defined where the unit's operative K is the frame's own K (flip arm, base_wrongness=0.0); this stratum's units carry phi_1=None throughout, so this row is expected to read insufficient_n / n=0, not a genuine null finding."
flip_cov100_bwa1,flip,radius,r_claim,AUC_frac_usable,insufficient_n,1629,0,1629,0,,,,,,,10000,0,0,0,,,,,0,,"r_claim is only defined where the unit's operative K is the frame's own K (flip arm, base_wrongness=0.0); this stratum's units carry r_claim=None throughout, so this row is expected to read insufficient_n / n=0, not a genuine null finding."
tiered_nt2,tiered,radius,shd_truth,AUC_rate_usable,ok,543,60,483,11,0.5802354721554341,0.6157986685344325,-0.03556319637899841,-0.4592356226147836,0.5018263405584296,0.6225733168112351,10000,9684,316,0,-0.1413418851685132,0.1616780142761881,magic-irri,magic-niab,11,True,
tiered_nt2,tiered,radius,n_k,AUC_rate_usable,ok,543,60,483,11,0.5802354721554341,-0.17286720574504982,0.7531026779004839,-0.3670100587944814,1.478621437639054,0.8997211607972736,10000,9683,317,0,0.03012158327350306,1.1702287923104142,paths,hailfinder,11,False,
