stratum,arm,predictor,endpoint,status,n,n_networks,stratum_n_units,n_excluded_unreached,n_excluded_nan,tau_b,p_value,ci_lo_2p5,ci_hi_97p5,n_boot_nan,loo_tau_min,loo_tau_max,loo_network_at_min,loo_network_at_max,loo_verdict_flips
flip_cov050_bw025,flip,radius,AUC_frac_usable,ok,515,17,546,0,31,0.11169010319610785,0.0025135320668763506,-0.46816236729728256,0.56688070720206,0,-0.25432524624865954,0.2828040381166396,insurance,child,True
flip_cov050_bw025,flip,shd_truth,AUC_frac,ok,515,17,546,0,31,0.539591281918056,8.924687439843398e-61,0.18959925151071477,0.7529885975029527,0,0.4424873803289545,0.5842741986738027,child,magic-niab,False
flip_cov050_bw025,flip,shd_truth,AUC_frac_usable,ok,515,17,546,0,31,0.539591281918056,8.924687439843398e-61,0.18959925151071477,0.7529885975029527,0,0.4424873803289545,0.5842741986738027,child,magic-niab,False
flip_cov050_bw025,flip,n_k,AUC_frac,ok,515,17,546,0,31,0.27725964358203203,1.732169991061154e-15,-0.2826061345436788,0.838751537677177,0,0.08997475255229696,0.6977776564455668,child,insurance,False
flip_cov050_bw025,flip,n_k,AUC_frac_usable,ok,515,17,546,0,31,0.27725964358203203,1.732169991061154e-15,-0.2826061345436788,0.838751537677177,0,0.08997475255229696,0.6977776564455668,child,insurance,False
flip_cov050_bw025,flip,k_g0,AUC_frac,ok,515,17,546,0,31,0.30857273382081857,9.94497901597102e-22,-0.34308829388594964,0.6486096197260551,0,0.02695478954593697,0.47874411864739125,insurance,child,False
flip_cov050_bw025,flip,k_g0,AUC_frac_usable,ok,515,17,546,0,31,0.30857273382081857,9.94497901597102e-22,-0.34308829388594964,0.6486096197260551,0,0.02695478954593697,0.47874411864739125,insurance,child,False
flip_cov050_bw025,flip,separation,AUC_frac,ok,264,11,546,0,282,0.17415672996037201,0.0009699315687982701,-0.7047798780828001,0.6954569459851304,2,-0.47727806156952257,0.5167603684990713,insurance,child,True
flip_cov050_bw025,flip,separation,AUC_frac_usable,ok,264,11,546,0,282,0.17415672996037201,0.0009699315687982701,-0.7047798780828001,0.6954569459851304,2,-0.47727806156952257,0.5167603684990713,insurance,child,True
flip_cov050_bw025,flip,phi_1,AUC_frac,insufficient_n,0,0,546,0,546,,,,,,,,,,
flip_cov050_bw025,flip,phi_1,AUC_frac_usable,insufficient_n,0,0,546,0,546,,,,,,,,,,
flip_cov050_bw025,flip,r_claim,AUC_frac,insufficient_n,0,0,546,0,546,,,,,,,,,,
flip_cov050_bw025,flip,r_claim,AUC_frac_usable,insufficient_n,0,0,546,0,546,,,,,,,,,,
flip_cov050_bwa1,flip,radius,AUC_frac,ok,310,15,546,0,236,0.4444277481883542,3.8497507831761747e-22,0.10688667359299706,0.774531389481762,23,0.2429966888965841,0.5648632745644163,insurance,barley,False
flip_cov050_bwa1,flip,radius,AUC_frac_usable,ok,310,15,546,0,236,0.4444277481883542,3.8497507831761747e-22,0.10688667359299706,0.774531389481762,23,0.2429966888965841,0.5648632745644163,insurance,barley,False
flip_cov050_bwa1,flip,shd_truth,AUC_frac,ok,310,15,546,0,236,-0.3019274689603861,1.3576339450588301e-12,-0.6209262376577758,0.20190921381469562,0,-0.36571568463684806,-0.12045315552642802,Shrier_2008,insurance,False
flip_cov050_bwa1,flip,shd_truth,AUC_frac_usable,ok,310,15,546,0,236,-0.3019274689603861,1.3576339450588301e-12,-0.6209262376577758,0.20190921381469562,0,-0.36571568463684806,-0.12045315552642802,Shrier_2008,insurance,False
