instance_id,base_instance_id,arm,gate,component_size,separation,separation_status,coverage,base_wrongness,n_tiers,seed,x,y,n_k,shd_truth,shd_cpdag,k_g0,undirected_fraction,z_size,z_star,phi_1,phi_1_n_broken,phi_1_n_inconsistent,r_claim,r_claim_censored,r_claim_cap,s0_ok,r_val,r_status,r_method,r_oracle,r_exact,r_assumes,r_witness,r_search_seconds,r_ladder_seconds,r_total_seconds,wall_until_timeout_s,r_stat_elements_visited,r_stat_closures,r_stat_validity_checks,r_stat_extensions_enumerated,AUC_frac,AUC_abs,n_depths_evaluated,n_depths_all_contradictory
c06_s01_cov100_seed00000188_tiered_nt2,c06_s01_cov100_seed00000188,tiered,fast_gate,6,1,measured,,,2,188,X,Y,3,2,3,3,0.625,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C02->C04 C03->C05 W->Y X->Y C00-C02 C00-C03 C00-X,0.000269666999997753,0.0,0.000269666999997753,,1,3,4,0,0.7335817060782818,2.239037441988348,5,2
c06_s01_cov100_seed00000198_tiered_nt2,c06_s01_cov100_seed00000198,tiered,fast_gate,6,1,measured,,,2,198,X,Y,4,2,4,4,0.6666666666666666,2,"C00,W",0.25,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C03 C00->Y C02->C03 C02->C05 W->Y X->Y C00-C02 C00-C04 C00-X,0.0003863750000050459,0.0,0.0003863750000050459,,1,4,4,0,0.7396460144207074,2.992170772579904,5,1
c06_s01_cov100_seed00000199_tiered_nt2,c06_s01_cov100_seed00000199,tiered,fast_gate,6,1,measured,,,2,199,X,Y,3,2,4,4,0.6666666666666666,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C03 C00->Y C02->C03 W->Y X->C04 X->Y C00-C02 C00-C05 C00-X,0.0007747500000050422,0.0,0.0007747500000050422,,1,4,3,0,0.5398277905420977,2.276475816616026,6,1
c06_s01_cov100_seed00000200_tiered_nt2,c06_s01_cov100_seed00000200,tiered,fast_gate,6,1,measured,,,2,200,X,Y,3,3,3,3,0.6666666666666666,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C03 C00->Y C02->C04 W->Y X->Y C00-C02 C00-C05 C00-X C03-X,0.00033249999999895863,0.0,0.00033249999999895863,,1,3,3,0,0.6554198315396493,2.7155091615128994,5,1
c06_s01_cov100_seed00000202_tiered_nt2,c06_s01_cov100_seed00000202,tiered,fast_gate,6,1,measured,,,2,202,X,Y,1,2,3,3,0.625,2,"C00,W",1.0,1,0,1,0,1,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C03->C05 W->Y X->C03 X->Y C00-C02 C00-C04 C00-X,0.00019579199999952834,0.0,0.00019579199999952834,,1,3,2,0,0.791062002275408,1.8296156433468023,6,2
c06_s01_cov100_seed00000207_tiered_nt2,c06_s01_cov100_seed00000207,tiered,fast_gate,6,1,measured,,,2,207,X,Y,3,2,3,3,0.625,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C02->C05 C03->C04 W->Y X->Y C00-C02 C00-C03 C00-X,0.0003415420000010272,0.0,0.0003415420000010272,,1,3,4,0,0.7459175902650632,2.264351153255541,5,2
c06_s01_cov100_seed00000209_tiered_nt2,c06_s01_cov100_seed00000209,tiered,fast_gate,6,1,measured,,,2,209,X,Y,3,2,4,4,0.6666666666666666,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C04 C00->Y C03->C04 W->Y X->C02 X->Y C00-C03 C00-C05 C00-X,0.00023679100000606468,0.0,0.00023679100000606468,,1,4,3,0,0.5475932755911639,2.304324088796039,6,1
c06_s01_cov100_seed00000000_tiered_nt3,c06_s01_cov100_seed00000000,tiered,fast_gate,6,1,measured,,,3,0,X,Y,4,3,4,4,0.7,2,"C00,W",0.25,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->Y C03->C05 W->Y X->Y C00-C04 C00-X C02-X C03-X,0.0003277080000003707,0.0,0.0003277080000003707,,1,4,2,0,0.5151954636988301,2.748195428239502,8,3
c06_s01_cov100_seed00000001_tiered_nt3,c06_s01_cov100_seed00000001,tiered,fast_gate,6,1,measured,,,3,1,X,Y,3,2,4,4,0.6666666666666666,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C03 C00->Y C03->C04 C04->C05 W->Y X->Y C00-C02 C00-X C03-X,0.0005083329999990838,0.0,0.0005083329999990838,,1,4,2,0,0.7352750985630274,3.0114453779655705,7,2
c06_s01_cov100_seed00000002_tiered_nt3,c06_s01_cov100_seed00000002,tiered,fast_gate,6,1,measured,,,3,2,X,Y,4,2,4,4,0.6666666666666666,2,"C00,W",0.25,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C05 C00->Y W->Y X->C04 X->Y C00-C03 C00-X C02-X,0.00030008299999906285,0.0,0.00030008299999906285,,1,4,2,0,0.5258906972820829,2.5964580710963934,7,3
