cpdag,n_nodes,k_undirected,space_size,upset_size,n_retractable,build_seconds,bfs_query_seconds,fast_seconds,bfs_single_query_seconds,speedup_single_query,speedup_amortised,crossover_queries,fast_elements_visited,fast_closures,fast_validity_checks,fast_peak_kib,r_bfs,r_fast,agree
V0->V1 V0->V2 V0->V3 V1->V3 V2->V3 V4->V1 V4->V2 V1-V2,5,1,3,1,0,9.537499999989763e-05,3.6750000000029814e-05,6.966699999999548e-05,0.00013212499999992744,1.8965220262094824,0.5275094377543486,2.8974390132757266,1,0,1,3.8515625,-1,-1,True
V0->V1 V0->V2 V0->V3 V1->V3 V2->V3 V4->V1 V4->V2 V1-V2,5,1,3,1,0,9.537499999989763e-05,4.279200000012473e-05,7.995799999993558e-05,0.00013816700000002236,1.7279946972177103,0.535180970011246,2.5661895280735894,1,0,1,4.1171875,-1,-1,True
V0->V1 V0->V2 V0->V3 V1->V3 V4->V1 V4->V2 V1-V2,5,1,3,1,0,8.775000000005306e-05,3.3916000000022706e-05,6.870799999991739e-05,0.00012166600000007577,1.7707690516420511,0.49362519648459396,2.522131524497548,1,0,1,3.625,-1,-1,True
V0->V1 V0->V2 V0->V3 V1->V3 V4->V1 V4->V2 V1-V2,5,1,3,1,0,8.775000000005306e-05,3.337499999989113e-05,6.9874999999886e-05,0.0001211249999999442,1.7334525939197396,0.4776386404285593,2.4041095890428874,1,0,1,3.5703125,-1,-1,True
V0->V1 V0->V2 V0->V3 V1->V3 V4->V1 V4->V2 V1-V2,5,1,3,1,0,8.775000000005306e-05,3.6208000000037543e-05,7.258399999998666e-05,0.0001239580000000906,1.70778684007651,0.4988427201593216,2.41230481636727,1,0,1,3.8359375,-1,-1,True
V0->V1 V0->V2 V0->V3 V2->V1 V2->V3 V4->V2 V1-V3,5,1,3,1,0,8.666700000015126e-05,3.741600000006784e-05,7.341599999999282e-05,0.0001240830000002191,1.6901356652532313,0.5096436744043736,2.407416666675885,1,0,1,3.8359375,-1,-1,True
V0->V1 V0->V2 V0->V3 V2->V1 V2->V3 V4->V2 V1-V3,5,1,3,1,0,8.666700000015126e-05,3.133399999999398e-05,6.4000000000064e-05,0.00011800100000014524,1.8437656250004255,0.48959374999941624,2.653125573990249,1,0,1,3.1640625,-1,-1,True
V0->V1 V0->V2 V0->V3 V2->V1 V2->V3 V4->V2 V1-V3,5,1,3,1,0,8.666700000015126e-05,3.654199999991725e-05,7.23750000000134e-05,0.00012320900000006851,1.7023696027640165,0.5048981001714747,2.418636452429847,1,0,1,3.78125,-1,-1,True
V0->V1 V0->V2 V0->V3 V4->V1 V4->V2 V4->V3 V1-V2 V1-V3,5,2,6,1,0,0.0003794999999999771,9.341699999998454e-05,9.837500000009491e-05,0.0004729169999999616,4.8072884370978946,0.9496010165173511,76.54296086961047,1,0,1,3.9609375,-1,-1,True
V0->V1 V0->V2 V0->V3 V4->V1 V4->V2 V4->V3 V1-V2 V1-V3,5,2,6,1,0,0.0003794999999999771,9.479099999998297e-05,0.00010104200000005115,0.00047429099999996005,4.693998535259793,0.9381346370809662,60.710286353517546,1,0,1,4.1171875,-1,-1,True
V0->V1 V0->V2 V0->V3 V4->V1 V4->V2 V4->V3 V1-V2 V1-V3,5,2,6,1,0,0.0003794999999999771,9.341699999998454e-05,0.00011333300000004876,0.0004729169999999616,4.172809331790019,0.8242700713820719,19.055031130686555,1,0,1,4.1171875,-1,-1,True
V0->V1 V0->V2 V0->V3 V4->V1 V4->V2 V4->V3 V1-V2 V2-V3,5,2,6,1,0,0.0003527500000000128,9.174999999994604e-05,0.0001035419999999565,0.0004444999999999588,4.292943926137659,0.8861138475206639,29.914348710965047,1,0,1,4.171875,-1,-1,True
V0->V1 V0->V2 V0->V3 V4->V1 V4->V2 V4->V3 V1-V2 V2-V3,5,2,6,1,0,0.0003527500000000128,8.654099999994003e-05,9.74579999999392e-05,0.0004392909999999528,4.507490406125991,0.8879825155450964,32.311990473576934,1,0,1,3.90625,-1,-1,True
V0->V1 V0->V2 V0->V3 V4->V1 V4->V2 V4->V3 V1-V2 V2-V3,5,2,6,1,0,0.0003527500000000128,8.954099999991527e-05,9.995900000014935e-05,0.00044229099999992805,4.424724136888797,0.8957772686779729,33.85966596199723,1,0,1,4.0625,-1,-1,True
V0->V1 V0->V2 V0->V3 V4->V1 V4->V2 V4->V3 V1-V3 V2-V3,5,2,6,1,0,0.00034724999999991013,9.062499999989981e-05,0.00010241700000013232,0.00043787499999980994,4.275413261462885,0.8848628645613787,29.447930799954488,1,0,1,4.1171875,-1,-1,True
V0->V1 V0->V2 V0->V3 V4->V1 V4->V2 V4->V3 V1-V3 V2-V3,5,2,6,1,0,0.00034724999999991013,8.941700000009156e-05,0.00010154199999989899,0.0004366670000000017,4.300358472360561,0.8805912824267841,28.6391752581794,1,0,1,4.0625,-1,-1,True
V0->V1 V0->V2 V0->V3 V4->V1 V4->V2 V4->V3 V1-V3 V2-V3,5,2,6,1,0,0.00034724999999991013,8.929199999996307e-05,9.558300000001019e-05,0.0004365419999998732,4.567151062425606,0.9341828567836702,55.19790176399765,1,0,1,3.90625,-1,-1,True
V0->V1 V0->V2 V0->V4 V3->V1 V3->V2 V3->V4 V1-V2 V1-V4,5,2,6,1,0,0.0003335830000001927,8.82909999999626e-05,9.683299999996287e-05,0.0004218740000001553,4.356717234830245,0.9117862712091586,39.05209552800071,1,0,1,3.9609375,-1,-1,True
V0->V1 V0->V2 V0->V4 V3->V1 V3->V2 V3->V4 V1-V2 V1-V4,5,2,6,1,0,0.0003335830000001927,9.008399999999028e-05,0.00010220800000015906,0.000423667000000183,4.145145194109303,0.8813791484017894,27.514269217712712,1,0,1,4.2158203125,-1,-1,True
V0->V1 V0->V2 V0->V4 V3->V1 V3->V2 V3->V4 V1-V2 V1-V4,5,2,6,1,0,0.0003335830000001927,9.137500000000465e-05,9.904199999999364e-05,0.00042495800000019734,4.290684760003076,0.9225883968418501,43.5089343942444,1,0,1,4.1171875,-1,-1,True
V0->V1 V0->V2 V0->V4 V3->V1 V3->V2 V3->V4 V1-V2 V2-V4,5,2,6,1,0,0.0003401249999999134,9.141699999992703e-05,9.941699999993503e-05,0.00043154199999984044,4.340726435117962,0.9195308649424824,42.51562499994666,1,0,1,4.171875,-1,-1,True
V0->V1 V0->V2 V0->V4 V3->V1 V3->V2 V3->V4 V1-V2 V2-V4,5,2,6,1,0,0.0003401249999999134,8.620799999992101e-05,0.00010124999999994166,0.00042633299999983443,4.210696296297087,0.8514370370367474,22.611687275591443,1,0,1,3.90625,-1,-1,True
