n,edge_prob,seed,attempt,effective_seed,x,y,z_size,k_undirected,k_g0,largest_component,space_build_s,space_bfs_query_enum_s,space_bfs_query_crit_s,space_censored,space_error,space_total_crit_s,space_total_enum_s,search_frozen_s,search_frozen_censored,search_frozen_error,search_fast_s,search_fast_censored,search_fast_error,search_fast_top_s,search_fast_top_censored,search_fast_top_error,search_fast_top_method,hybrid_total_s,hybrid_censored,hybrid_error,hybrid_method,radius_agree,speedup_space_vs_search,speedup_space_vs_search_lb,speedup_search_vs_hybrid,speedup_search_vs_hybrid_lb,speedup_e2e,speedup_e2e_lb,speedup_space_vs_search_enum,speedup_search_vs_hybrid_enum,speedup_e2e_enum,speedup_space_vs_search_top,speedup_search_top_vs_hybrid,gate_exhausted,gate_error
16,0.3,2,0,2,V00,V01,4,6,6,5,0.2164626670000871,0.0010557919995335396,0.001201832999868202,False,False,0.2176644999999553,0.21751845899962063,0.004139790995395742,False,False,0.001366083997709211,False,False,0.0015961670069373213,False,False,local_up_fast_exact,0.0014265419958974235,False,False,local_up_fast,True,159.33463854708594,,0.9576191949749233,,152.58190829708082,,52.54334318847104,2.901976252575334,152.4795341638589,136.36699609372556,1.1189064265389457,False,
16,0.3,3,0,3,V00,V03,3,3,3,3,0.0035391670007811626,0.0010291670005244669,0.0008509589988534572,False,False,0.00439012599963462,0.0045683340013056295,0.00477600000158418,False,False,0.0010711669965530746,False,False,9.354099893243983e-05,False,False,top_state,8.67910057422705e-05,False,False,top_state,True,4.09845151480738,,12.34191247574604,,50.58272988184146,,0.9565188441772051,55.02874359777222,52.636030222664864,46.93263969529978,1.077772957375488,False,
16,0.3,4,0,4,V00,V02,1,1,1,2,0.00021949999973003287,7.262500002980232e-05,0.00011649999942164868,False,False,0.00033599999915168155,0.0002921249997598352,0.0003122080015600659,False,False,0.00016266700549749658,False,False,6.187499820953235e-05,False,False,top_state,5.7749995903577656e-05,False,False,top_state,True,2.06556946274426,,2.8167448837415283,,5.818182216197631,,0.9356742886156717,5.4061995446951085,5.0584419130969644,5.430303173728706,1.0714286164252202,False,
16,0.3,5,0,5,V01,V05,2,4,4,3,0.014507125000818633,0.0005384590003814083,0.0005795409997517709,False,False,0.015086666000570403,0.01504558400120004,0.0012737919969367795,False,False,0.0005329999985406175,False,False,0.0005046679943916388,False,False,local_up_fast_exact,0.0005394170002546161,False,False,local_up_fast,True,28.305189572004693,,0.9881038200298291,,27.968465942766322,,11.811649026985354,2.3614235300992052,27.892305941596593,29.894239714481795,0.9355804399072052,False,
16,0.3,6,0,6,V00,V05,4,6,6,6,0.1676586249996035,0.010016459000325995,0.004634208000425133,False,False,0.17229283300002862,0.17767508399992948,0.10116974999982631,False,False,0.011367250001057982,False,False,0.00012425000022631139,False,False,top_state,0.00011345800157869235,False,False,top_state,True,15.156949392684496,,100.18905535872558,,1518.5604417730692,,1.75620760158283,891.693389554873,1565.9987090174277,1386.66263731357,1.0951188853801017,False,
16,0.3,7,0,7,V00,V02,3,6,6,6,0.1435225419991184,0.0008974590000434546,0.0014037499986443436,False,False,0.14492629199776275,0.14442000099916186,0.011319750003167428,False,False,0.003032207998330705,False,False,0.0031303750001825392,False,False,local_up_fast_exact,0.002936333999969065,False,False,local_up_fast,True,47.795630140659135,,1.0326509172194478,,49.35620130383314,,12.75823237781321,3.8550621296101477,49.18377848047373,46.296782969871586,1.0660827413419312,False,
16,0.5,0,0,0,V00,V01,7,4,4,4,0.017680332999589154,0.005530624999664724,0.0022160420012369286,False,False,0.019896375000826083,0.02321095799925388,0.020623167001758702,False,False,0.0037060829999973066,False,False,0.00013704099546885118,False,False,top_state,0.00012666699331020936,False,False,top_state,True,5.368572425615008,,29.258474549254153,,157.07623968068432,,1.1254798061458986,162.81405647051443,183.243932714262,145.18556971040422,1.0818998058415719,False,
16,0.5,1,0,1,V00,V03,9,4,4,3,0.02655104199948255,0.013519540998458979,0.003612958000303479,False,False,0.03016399999978603,0.04007058299794153,0.025281709000410046,False,False,0.003280875003838446,False,False,0.00012475000403355807,False,False,top_state,0.00011195800470886752,False,False,top_state,True,9.193888814567998,,29.304514780965793,,269.422450661064,,1.584963381917402,225.81421548331357,357.90726265745764,241.7955833626413,1.1142571213014605,False,
16,0.5,2,0,2,V00,V01,6,5,5,4,0.06140133299959416,0.00958116699985112,0.004044040999360732,False,False,0.06544537399895489,0.07098249999944528,0.05850350000400795,False,False,0.00715574999776436,False,False,0.00017700000171316788,False,False,top_state,0.00013941700308350846,False,False,top_state,True,9.145844114090306,,51.32623596476382,,469.42175309674536,,1.2133034774771154,419.62959115514286,509.13804220083506,369.74787212155206,1.2695725614410736,False,
16,0.5,3,0,3,V00,V03,8,2,2,3,0.0013090000011288794,0.0007170830012910301,0.0004681250011344673,False,False,0.0017771250022633467,0.0020260830024199095,0.0026064170015160926,False,False,0.0009549169990350492,False,False,0.00013141600356902927,False,False,top_state,0.00011737499880837277,False,False,top_state,True,1.861025622184069,,8.135608168090833,,15.140575252867038,,0.7773441476330855,22.20589587201059,17.261623199057123,13.522896405306307,1.1196251748941863,False,
