n,edge_prob,seed,attempt,effective_seed,x,y,z_size,k_undirected,k_g0,largest_component,space_build_s,space_bfs_query_enum_s,space_bfs_query_crit_s,space_censored,space_error,space_total_crit_s,space_total_enum_s,search_frozen_s,search_frozen_censored,search_frozen_error,search_fast_s,search_fast_censored,search_fast_error,hybrid_total_s,hybrid_censored,hybrid_error,hybrid_method,radius_agree,speedup_space_vs_search,speedup_space_vs_search_lb,speedup_search_vs_hybrid,speedup_search_vs_hybrid_lb,speedup_e2e,speedup_e2e_lb,speedup_space_vs_search_enum,speedup_search_vs_hybrid_enum,speedup_e2e_enum,gate_exhausted,gate_error
10,0.7,4,0,4,V0,V2,1,1,1,2,0.00019874999998137355,7.183299931057263e-05,0.00013970800137030892,False,False,0.00033845800135168247,0.0002705829992919462,0.0002732920002017636,False,False,0.0001524580002296716,False,False,0.00014445799934037495,False,False,local_up_fast,True,2.2200081389091397,,1.0553794246481767,,2.3429509123561973,,0.9900875221088893,1.891844006214064,1.873091144329037,False,
10,0.7,5,0,5,V0,V5,3,5,5,4,0.03604195899970364,0.004374459000246134,0.0026080000006913906,False,False,0.03864995900039503,0.04041641799994977,0.009215833000780549,False,False,0.0018058749992633238,False,False,0.0873572909986251,False,False,e1_ladder,True,21.402344578756352,,0.02067228709383566,,0.4424354116132485,,4.3855414910976185,0.10549586526127046,0.46265649424254557,False,
10,0.7,6,0,6,V0,V1,4,6,6,4,0.16239191700151423,0.01828712499991525,0.00634445799914829,False,False,0.16873637500066252,0.18067904200142948,0.07426237499930721,False,False,0.007543249999798718,False,False,0.116638082999998,False,False,e1_ladder,True,22.369187685038284,,0.06467227346148038,,1.4466662230779754,,2.4329822740400506,0.6366906338756312,1.5490570262667347,False,
10,0.7,7,0,7,V0,V2,1,4,4,4,0.010115915998540004,7.316700066439807e-05,0.0003639590013335692,False,False,0.010479874999873573,0.010189082999204402,0.00043679199916368816,False,False,0.00026395900022180285,False,False,0.0002550839999457821,False,False,local_up_fast,True,39.702662122024286,,1.034792461612281,,41.08401546981018,,23.327082498564803,1.7123457341759103,39.94403020718698,False,
10,0.85,0,0,0,V0,V1,7,6,6,4,0.18454366700098035,0.02794033299869625,0.005219332999331527,False,False,0.18976300000031188,0.2124839999996766,0.0632853340011934,False,False,0.005690125000910484,False,False,0.16284395900038362,False,False,e1_ladder,True,33.34953098041742,,0.03494219273370208,,1.165305739096314,,3.357555164292404,0.3886256167540383,1.3048319465088418,False,
10,0.85,1,0,1,V0,V1,2,9,9,5,15.033114624999143,0.0006515000004583271,0.0019479170005070046,False,False,15.03506254199965,15.033766124999602,0.0012118750000809086,False,False,0.0006181669996294659,False,False,0.0005942090010648826,False,False,local_up_fast,True,24322.007727704302,,1.0403191444788755,,25302.650271293936,,12405.376894478308,2.039476005764144,25300.468518749418,False,
10,0.85,2,0,2,V0,V1,2,4,4,4,0.011919209000552655,0.00016287500147882383,0.000417958000980434,False,False,0.01233716700153309,0.012082084002031479,0.0006999589986662613,False,False,0.0003355000008014031,False,False,0.0003374579991941573,False,False,local_up_fast,True,36.77247979750674,,0.9941978012154701,,36.559118559921494,,17.261131044894512,2.0742107175937416,35.803223011110255,False,
10,0.85,3,0,3,V0,V1,2,3,3,3,0.0035442499993223464,0.00011054199967475142,0.0003579580006771721,False,False,0.0039022079999995185,0.003654791998997098,0.0006402089984476333,False,False,0.0003459999988990603,False,False,0.000295374999041087,False,False,local_up_fast,True,11.278057839352543,,1.171392298001942,,13.211030089437992,,5.708748249179828,2.16744477537376,12.373396566608916,False,
10,0.85,4,0,4,V0,V2,1,1,1,2,0.00023112499911803752,8.583300041209441e-05,0.00015858400001889095,False,False,0.00038970899913692847,0.00031695799953013193,0.00029954199999338016,False,False,0.00016041699927882291,False,False,0.00016212500122492202,False,False,local_up_fast,True,2.4293497627366167,,0.9894649071198492,,2.4037563373478146,,1.0581420953894167,1.8475990607877588,1.9550223416214774,False,
10,0.85,5,0,5,V0,V5,4,5,5,4,0.04102316699936637,0.005488708000484621,0.002943292000054498,False,False,0.043966458999420865,0.04651187499985099,0.011109666998891043,False,False,0.0020385410007293103,False,False,0.11730749900016235,False,False,e1_ladder,True,21.567610847018226,,0.01737775519983159,,0.3747966615447152,,4.186612884481034,0.09470551408546923,0.3964953255016256,False,
10,0.85,6,0,6,V0,V1,4,14,14,6,,,,True,False,,,0.0009287500015489059,False,False,0.0005822080001962604,False,False,0.000610957999015227,False,False,local_up_fast,True,,206118.36870937506,0.9529427573330618,,,196419.00661490453,,1.5201535998315958,,False,
10,0.85,7,0,7,V0,V1,1,6,6,4,0.1980102910001733,0.00016641699949104805,0.0006947500005480833,False,False,0.1987050410007214,0.19817670799966436,0.0006424170005630003,False,False,0.00041804200009210035,False,False,0.0003854160004266305,False,False,local_up_fast,True,475.32315163773967,,1.0846513887055935,,515.5599165077937,,308.48608898268037,1.6668145584300766,514.1891041894877,False,
12,0.3,0,1,10000,V00,V02,2,2,2,2,0.000736209000024246,0.00023637499907636084,0.00048137500016309787,False,False,0.001217584000187344,0.0009725839991006069,0.0007821670005796477,False,False,0.0003374169991730014,False,False,0.0005256670010567177,False,False,local_up_fast,True,3.6085437401541847,,0.6418835469883247,,2.3162648553926837,,1.2434480083918718,1.4879514959228999,1.850190324189036,False,
12,0.3,1,0,1,V00,V01,2,2,2,3,0.0006280420002440223,7.76249999034917e-05,0.0001777500001480803,False,False,0.0008057920003921026,0.000705667000147514,0.0003620000006776536,False,False,0.00018383300084678922,False,False,0.000180125000042608,False,False,local_up_fast,True,4.383282635219934,,1.0205857088316674,,4.473515615275476,,1.9493563503495186,2.009715478651068,3.9176516307041815,False,
12,0.3,2,0,2,V00,V10,1,8,8,7,1.3046793749999779,0.0029877500001020962,0.0019040000006498303,False,False,1.3065833750006277,1.30766712500008,0.0006012920002831379,False,False,0.00032645899955241475,False,False,0.00033641699883446563,False,False,local_up_fast,True,4002.289343507128,,0.9703998331934744,,3883.8209113313374,,2174.7622193282505,1.787341312616026,3887.042359721897,False,
