instance_id,component_size,separation,coverage,base_wrongness,n_draws,d,n_eval,n_contradictory,contradiction_rate,S,S_contra_as_fail
c06_s01_cov100_seed00000016_bw000,6,1,1.0,0.0,200,3,47,153,0.765,0.0,0.0
c06_s01_cov100_seed00000016_bw000,6,1,1.0,0.0,200,4,21,179,0.895,0.0,0.0
c06_s01_cov100_seed00000016_bw000,6,1,1.0,0.0,200,5,0,200,1.0,,0.0
c06_s01_cov100_seed00000016_bw000,6,1,1.0,0.0,200,6,0,200,1.0,,0.0
c06_s01_cov100_seed00000016_bw000,6,1,1.0,0.0,1000,1,332,668,0.668,0.4789156626506024,0.159
c06_s01_cov100_seed00000016_bw000,6,1,1.0,0.0,1000,2,215,785,0.785,0.0,0.0
c06_s01_cov100_seed00000016_bw000,6,1,1.0,0.0,1000,3,200,800,0.8,0.0,0.0
c06_s01_cov100_seed00000016_bw000,6,1,1.0,0.0,1000,4,111,889,0.889,0.0,0.0
c06_s01_cov100_seed00000016_bw000,6,1,1.0,0.0,1000,5,0,1000,1.0,,0.0
c06_s01_cov100_seed00000016_bw000,6,1,1.0,0.0,1000,6,0,1000,1.0,,0.0
c06_s01_cov100_seed00000017_bw000,6,1,1.0,0.0,200,1,93,107,0.535,0.6344086021505376,0.295
c06_s01_cov100_seed00000017_bw000,6,1,1.0,0.0,200,2,45,155,0.775,0.4444444444444444,0.1
c06_s01_cov100_seed00000017_bw000,6,1,1.0,0.0,200,3,41,159,0.795,0.1951219512195122,0.04
c06_s01_cov100_seed00000017_bw000,6,1,1.0,0.0,200,4,23,177,0.885,0.30434782608695654,0.035
c06_s01_cov100_seed00000017_bw000,6,1,1.0,0.0,200,5,30,170,0.85,0.4,0.06
c06_s01_cov100_seed00000017_bw000,6,1,1.0,0.0,200,6,27,173,0.865,0.0,0.0
c06_s01_cov100_seed00000017_bw000,6,1,1.0,0.0,200,7,0,200,1.0,,0.0
c06_s01_cov100_seed00000017_bw000,6,1,1.0,0.0,1000,1,431,569,0.569,0.6496519721577726,0.28
c06_s01_cov100_seed00000017_bw000,6,1,1.0,0.0,1000,2,230,770,0.77,0.40869565217391307,0.094
c06_s01_cov100_seed00000017_bw000,6,1,1.0,0.0,1000,3,184,816,0.816,0.28804347826086957,0.053
c06_s01_cov100_seed00000017_bw000,6,1,1.0,0.0,1000,4,156,844,0.844,0.41025641025641024,0.064
c06_s01_cov100_seed00000017_bw000,6,1,1.0,0.0,1000,5,153,847,0.847,0.29411764705882354,0.045
c06_s01_cov100_seed00000017_bw000,6,1,1.0,0.0,1000,6,151,849,0.849,0.0,0.0
c06_s01_cov100_seed00000017_bw000,6,1,1.0,0.0,1000,7,0,1000,1.0,,0.0
c06_s01_cov100_seed00000018_bw000,6,1,1.0,0.0,200,1,88,112,0.56,0.7045454545454546,0.31
c06_s01_cov100_seed00000018_bw000,6,1,1.0,0.0,200,2,49,151,0.755,0.5306122448979592,0.13
c06_s01_cov100_seed00000018_bw000,6,1,1.0,0.0,200,3,29,171,0.855,0.4827586206896552,0.07
c06_s01_cov100_seed00000018_bw000,6,1,1.0,0.0,200,4,5,195,0.975,0.0,0.0
c06_s01_cov100_seed00000018_bw000,6,1,1.0,0.0,200,5,0,200,1.0,,0.0
c06_s01_cov100_seed00000018_bw000,6,1,1.0,0.0,200,6,0,200,1.0,,0.0
c06_s01_cov100_seed00000018_bw000,6,1,1.0,0.0,1000,1,468,532,0.532,0.6730769230769231,0.315
c06_s01_cov100_seed00000018_bw000,6,1,1.0,0.0,1000,2,268,732,0.732,0.4626865671641791,0.124
c06_s01_cov100_seed00000018_bw000,6,1,1.0,0.0,1000,3,160,840,0.84,0.3875,0.062
c06_s01_cov100_seed00000018_bw000,6,1,1.0,0.0,1000,4,62,938,0.938,0.0,0.0
c06_s01_cov100_seed00000018_bw000,6,1,1.0,0.0,1000,5,0,1000,1.0,,0.0
