network,treatment,outcome,n_claims,retraction_depth,retraction_set,retraction_sits,n_sets_at_depth,what_it_costs,free_rule_said,hop_radius_said,closure_size_said,claim_count_said,free_rule_unit_gap,hop_unit_gap,closure_unit_gap,z_valid_at_truth
child,LungFlow,XrayReport,2,1,BirthAsphyxia -> Disease,elsewhere in the component,1,identifiability,2,2,12,2,1,1,11,1
child,LungParench,ChestXray,2,1,BirthAsphyxia -> Disease,elsewhere in the component,1,identifiability,2,2,12,2,1,1,11,1
child,LungParench,Grunting,2,1,BirthAsphyxia -> Disease,elsewhere in the component,1,identifiability,2,2,12,2,1,1,11,1
child,LungParench,GruntingReport,2,1,BirthAsphyxia -> Disease,elsewhere in the component,1,identifiability,2,2,12,2,1,1,11,1
child,LungParench,HypoxiaInO2,2,1,BirthAsphyxia -> Disease,elsewhere in the component,1,identifiability,2,2,12,2,1,1,11,1
child,LungParench,LowerBodyO2,2,1,BirthAsphyxia -> Disease,elsewhere in the component,1,identifiability,2,2,12,2,1,1,11,1
child,LungParench,RUQO2,2,1,BirthAsphyxia -> Disease,elsewhere in the component,1,identifiability,2,2,12,2,1,1,11,1
child,LungParench,XrayReport,2,1,BirthAsphyxia -> Disease,elsewhere in the component,1,identifiability,2,2,12,2,1,1,11,1
child,Sick,Age,2,1,BirthAsphyxia -> Disease,elsewhere in the component,2,identifiability,1,1,12,2,0,0,11,1
child,Sick,Grunting,2,1,BirthAsphyxia -> Disease,elsewhere in the component,1,identifiability,2,2,12,2,1,1,11,1
child,Sick,GruntingReport,2,1,BirthAsphyxia -> Disease,elsewhere in the component,1,identifiability,2,2,12,2,1,1,11,1
insurance,AntiTheft,PropCost,3,1,Age -> SocioEcon,elsewhere in the component,1,identifiability,2,3,18,3,1,2,17,1
insurance,AntiTheft,Theft,3,1,Age -> SocioEcon,elsewhere in the component,1,identifiability,2,3,18,3,1,2,17,1
insurance,AntiTheft,ThisCarCost,3,1,Age -> SocioEcon,elsewhere in the component,1,identifiability,2,3,18,3,1,2,17,1
insurance,DrivingSkill,Accident,3,1,SocioEcon -> RiskAversion,elsewhere in the component,1,identifiability,2,3,18,3,1,2,17,1
insurance,DrivingSkill,DrivHist,3,1,SocioEcon -> RiskAversion,elsewhere in the component,1,identifiability,2,3,18,3,1,2,17,1
insurance,DrivingSkill,DrivQuality,3,1,SocioEcon -> RiskAversion,elsewhere in the component,1,identifiability,2,3,18,3,1,2,17,1
insurance,DrivingSkill,ILiCost,3,1,SocioEcon -> RiskAversion,elsewhere in the component,1,identifiability,2,3,18,3,1,2,17,1
insurance,DrivingSkill,MedCost,3,1,SocioEcon -> RiskAversion,elsewhere in the component,1,identifiability,1,3,18,3,0,2,17,1
insurance,DrivingSkill,OtherCarCost,3,1,SocioEcon -> RiskAversion,elsewhere in the component,1,identifiability,2,3,18,3,1,2,17,1
insurance,DrivingSkill,PropCost,3,1,SocioEcon -> RiskAversion,elsewhere in the component,1,identifiability,2,3,18,3,1,2,17,1
insurance,DrivingSkill,ThisCarCost,3,1,SocioEcon -> RiskAversion,elsewhere in the component,1,identifiability,2,3,18,3,1,2,17,1
insurance,DrivingSkill,ThisCarDam,3,1,SocioEcon -> RiskAversion,elsewhere in the component,1,identifiability,2,3,18,3,1,2,17,1
insurance,HomeBase,PropCost,3,1,Age -> SocioEcon,elsewhere in the component,1,identifiability,2,3,18,3,1,2,17,1
insurance,HomeBase,Theft,3,1,Age -> SocioEcon,elsewhere in the component,1,identifiability,2,3,18,3,1,2,17,1
insurance,HomeBase,ThisCarCost,3,1,Age -> SocioEcon,elsewhere in the component,1,identifiability,2,3,18,3,1,2,17,1
insurance,MakeModel,Accident,3,1,Age -> SocioEcon,elsewhere in the component,1,identifiability,2,3,18,3,1,2,17,1
insurance,MakeModel,Airbag,3,1,Age -> SocioEcon,elsewhere in the component,1,identifiability,2,3,18,3,1,2,17,1
